品种代码,品种名称,纳入日期
603658,安图生物,2020-06-15
300628,亿联网络,2020-06-15
601658,邮储银行,2020-06-15
601077,渝农商行,2020-06-15
601916,浙商银行,2020-06-15
000066,中国长城,2020-06-15
603501,韦尔股份,2019-12-16
600989,宝丰能源,2019-12-16
002841,视源股份,2019-12-16
002916,深南电路,2019-12-16
300347,泰格医药,2019-12-16
600655,豫园股份,2019-12-16
601698,中国卫通,2019-12-16
600848,上海临港,2019-12-16
601236,红塔证券,2019-12-16
601698,中国卫通,2019-12-16
603501,韦尔股份,2019-12-16
603899,晨光文具,2019-12-16
000596,古井贡酒,2019-06-17
000656,金科股份,2019-06-17
002410,广联达,2019-06-17
002739,万达电影,2019-06-17
002938,鹏鼎控股,2019-06-17
002939,长城证券,2019-06-17
002945,华林证券,2019-06-17
300413,芒果超媒,2019-06-17
300498,温氏股份,2019-06-17
600299,安迪苏,2019-06-17
601162,天风证券,2019-06-17
601319,中国人保,2019-06-17
603019,中科曙光,2019-06-17
002120,韵达股份,2018-12-17
603986,兆易创新,2018-12-17
002179,中航光电,2018-12-17
000661,长春高新,2018-12-17
002001,新和成,2018-12-17
601138,工业富联,2018-12-17
002311,海大集团,2018-12-17
002773,康弘药业,2018-12-17
600760,中航沈飞,2018-12-17
601066,中信建投,2018-12-17
300142,沃森生物,2018-12-17
002032,苏泊尔,2018-12-17
000703,恒逸石化,2018-12-17
002271,东方雨虹,2018-12-17
603259,药明康德,2018-12-17
002493,荣盛石化,2018-06-11
300433,蓝思科技,2018-06-11
002050,三花智控,2018-06-11
000786,北新建材,2018-06-11
600809,山西汾酒,2018-06-11
601360,三六零,2018-06-11
600025,华能水电,2018-06-11
600438,通威股份,2018-06-11
600809,山西汾酒,2018-06-11
601360,三六零,2018-06-11
600025,华能水电,2018-06-11
600346,恒力股份,2018-06-11
603288,海天味业,2018-06-11
601238,广汽集团,2018-06-11
601838,成都银行,2018-06-11
601108,财通证券,2018-06-11
002601,龙蟒佰利,2017-12-11
300003,乐普医疗,2017-12-11
002624,完美世界,2017-12-11
603799,华友钴业,2017-12-11
600011,华能国际,2017-12-11
603833,欧派家居,2017-12-11
300136,信维通信,2017-12-11
002460,赣锋锂业,2017-12-11
601878,浙商证券,2017-12-11
300122,智飞生物,2017-12-11
300015,爱尔眼科,2017-12-11
601012,隆基股份,2017-12-11
002044,美年健康,2017-06-12
002352,顺丰控股,2017-06-12
002508,老板电器,2017-06-12
002555,三七互娱,2017-06-12
002558,世纪游轮,2017-06-12
002602,世纪华通,2017-06-12
600233,圆通速递,2017-06-12
600436,片仔癀,2017-06-12
600522,中天科技,2017-06-12
600919,江苏银行,2017-06-12
600926,杭州银行,2017-06-12
601229,上海银行,2017-06-12
601881,中国银河,2017-06-12
603160,汇顶科技,2017-06-12
600482,中国动力,2016-12-12
002714,牧原股份,2016-12-12
300033,同花顺,2016-12-12
601155,新城控股,2016-12-12
601877,正泰电器,2016-12-12
000938,紫光股份,2016-12-12
002027,分众传媒,2016-06-13
600061,国投安信,2016-06-13
600606,绿地控股,2016-06-13
001979,招商蛇口,2015-12-30
300144,宋城演艺,2015-12-14
601211,国泰君安,2015-12-14
601985,中国核电,2015-12-14
002736,国信证券,2015-06-15
300059,东方财富,2015-06-15
600958,东方证券,2015-06-15
601021,春秋航空,2015-06-15
601788,光大证券,2015-06-15
601919,中国远洋,2015-06-15
000166,申万宏源,2015-01-26
601727,上海电气,2014-12-15
600570,恒生电子,2014-12-15
300124,汇川技术,2014-12-15
002153,石基信息,2014-12-15
601216,内蒙君正,2014-06-16
601225,陕西煤业,2014-06-16
002252,上海莱士,2014-06-16
002475,立讯精密,2014-06-16
002008,大族激光,2014-06-16
600705,中航投资,2013-12-16
600018,上港集团,2013-12-16
002230,科大讯飞,2013-12-16
002456,欧菲光,2013-12-16
000333,美的集团,2013-09-18
000963,华东医药,2013-07-01
600332,广州药业,2013-07-01
603993,洛阳钼业,2013-07-01
002236,大华股份,2013-01-04
002673,西部证券,2013-01-04
600340,华夏幸福,2013-01-04
600886,国投电力,2013-01-04
601800,中国交建,2013-01-04
601336,新华保险,2012-07-02
601555,东吴证券,2012-07-02
601633,长城汽车,2012-07-02
601669,中国水电,2012-07-02
601633,长城汽车,2012-07-02
601669,中国水电,2012-07-02
601901,方正证券,2012-07-02
002594,比亚迪,2012-01-04
601377,兴业证券,2011-07-01
601933,永辉超市,2011-07-01
000776,广发证券,2011-01-04
002415,海康威视,2011-01-04
600115,东方航空,2011-01-04
600276,恒瑞医药,2011-01-04
600406,国电南瑞,2011-01-04
600703,三安光电,2011-01-04
600887,伊利股份,2011-01-04
600893,航空动力,2011-01-04
601818,光大银行,2011-01-04
601288,农业银行,2010-07-29
002304,洋河股份,2010-07-01
600999,招商证券,2010-07-01
601607,上海医药,2010-07-01
601688,华泰证券,2010-07-01
601888,中国国旅,2010-07-01
601989,中国重工,2010-07-01
002007,华兰生物,2010-01-04
601618,中国中冶,2010-01-04
601668,中国建筑,2010-01-04
600352,浙江龙盛,2009-07-01
601766,中国南车,2009-07-01
000100,TCL集团,2009-01-05
600588,用友软件,2009-01-05
601186,中国铁建,2009-01-05
601899,紫金矿业,2009-01-05
000728,国元证券,2008-07-01
000783,长江证券,2008-07-01
002202,金风科技,2008-07-01
601390,中国中铁,2008-07-01
601601,中国太保,2008-07-01
601939,建设银行,2008-07-01
000338,潍柴动力,2008-01-02
000895,双汇发展,2008-01-02
002142,宁波银行,2008-01-02
600109,国金证券,2008-01-02
600111,包钢稀土,2008-01-02
601009,南京银行,2008-01-02
601169,北京银行,2008-01-02
601857,中国石油,2007-11-19
601088,中国神华,2007-10-23
600837,海通证券,2007-07-02
000876,新希望,2007-07-02
601328,交通银行,2007-05-29
601998,中信银行,2007-05-18
601600,中国铝业,2007-04-30
601318,中国平安,2007-03-15
601166,兴业银行,2007-02-26
601628,中国人寿,2007-01-23
600489,中金黄金,2007-01-04
600547,山东黄金,2007-01-04
601111,中国国航,2007-01-04
600048,保利地产,2007-01-04
600118,中国卫星,2007-01-04
601398,工商银行,2006-11-10
601006,大秦铁路,2006-08-15
601988,中国银行,2006-07-19
600383,金地集团,2006-01-04
000768,西飞国际,2006-01-04
002024,苏宁电器,2005-07-01
000538,云南白药,2005-07-01
600029,南方航空,2005-04-08
600030,中信证券,2005-04-08
600031,三一重工,2005-04-08
600036,招商银行,2005-04-08
600050,中国联通,2005-04-08
000858,五粮液,2005-04-08
000625,长安汽车,2005-04-08
000651,格力电器,2005-04-08
000568,泸州老窖,2005-04-08
000425,徐工科技,2005-04-08
000157,中联重科,2005-04-08
000069,华侨城A,2005-04-08
000063,中兴通讯,2005-04-08
000001,深发展A,2005-04-08
600010,包钢股份,2005-04-08
600015,华夏银行,2005-04-08
600016,民生银行,2005-04-08
600019,宝钢股份,2005-04-08
600028,中国石化,2005-04-08
600029,南方航空,2005-04-08
600030,中信证券,2005-04-08
600031,三一重工,2005-04-08
600036,招商银行,2005-04-08
600050,中国联通,2005-04-08
000858,五粮液,2005-04-08
000625,长安汽车,2005-04-08
000651,格力电器,2005-04-08
000568,泸州老窖,2005-04-08
000425,徐工科技,2005-04-08
000157,中联重科,2005-04-08
000069,华侨城A,2005-04-08
000063,中兴通讯,2005-04-08
000001,深发展A,2005-04-08
000002,万科A,2005-04-08
